"","W1Q50","COHORT","Bullied","W1Q52","W1Q53"
"264",28,"(2) Middle",2,"(5) Out to no one at school","(2) Agree"
"265",19,"(3) Older",1,"(5) Out to no one at school","(3) Disagree"
"266",23,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"267",22,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"268",17,"(1) Younger",3,"(1) Out to everyone at school","(2) Agree"
"269",16,"(1) Younger",2,"(1) Out to everyone at school","(1) Agree strongly"
"270",NA,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"271",17,"(3) Older",3,"(4) Out to a few people at school","(2) Agree"
"272",35,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"273",18,"(3) Older",1,"(4) Out to a few people at school","(2) Agree"
"274",NA,"(1) Younger",2,"(5) Out to no one at school","(3) Disagree"
"275",29,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"276",18,"(3) Older",3,"(5) Out to no one at school","(1) Agree strongly"
"277",22,"(2) Middle",4,"(5) Out to no one at school","(4) Disagree strongly"
"278",20,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"279",17,"(1) Younger",4,"(1) Out to everyone at school","(2) Agree"
"280",21,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"281",15,"(2) Middle",4,"(3) Out to some people at school","(3) Disagree"
"282",17,"(1) Younger",4,"(1) Out to everyone at school","(1) Agree strongly"
"283",16,"(2) Middle",4,"(1) Out to everyone at school","(3) Disagree"
"284",20,"(1) Younger",2,"(2) Out to most people at school","(1) Agree strongly"
"285",14,"(1) Younger",4,"(1) Out to everyone at school","(1) Agree strongly"
"286",20,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"287",15,"(3) Older",4,"(4) Out to a few people at school","(2) Agree"
"288",52,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"289",17,"(1) Younger",4,"(2) Out to most people at school","(2) Agree"
"290",35,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"291",16,"(2) Middle",4,"(2) Out to most people at school","(3) Disagree"
"292",24,"(1) Younger",1,"(5) Out to no one at school","(1) Agree strongly"
"293",15,"(1) Younger",4,"(2) Out to most people at school","(2) Agree"
"294",24,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"295",NA,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"296",31,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"297",18,"(1) Younger",4,"(4) Out to a few people at school","(3) Disagree"
"298",NA,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"299",20,"(2) Middle",1,"(5) Out to no one at school","(1) Agree strongly"
"300",NA,"(1) Younger",2,"(5) Out to no one at school","(3) Disagree"
"301",12,"(1) Younger",2,"(1) Out to everyone at school","(1) Agree strongly"
"302",23,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"303",26,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"304",18,"(1) Younger",4,"(5) Out to no one at school","(1) Agree strongly"
"305",35,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"306",18,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"307",18,"(1) Younger",3,"(1) Out to everyone at school","(1) Agree strongly"
"308",20,"(3) Older",1,"(5) Out to no one at school","(3) Disagree"
"309",38,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"310",NA,"(1) Younger",4,"(2) Out to most people at school","(2) Agree"
"311",16,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"312",14,"(1) Younger",2,"(1) Out to everyone at school","(1) Agree strongly"
"313",15,"(1) Younger",2,"(1) Out to everyone at school","(2) Agree"
"314",26,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"315",52,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"316",13,"(1) Younger",2,"(3) Out to some people at school","(2) Agree"
"317",28,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"318",19,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"319",NA,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"320",20,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"321",21,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"322",19,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"323",26,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"324",30,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"325",14,"(1) Younger",4,"(1) Out to everyone at school","(2) Agree"
"326",32,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"327",31,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"328",16,"(1) Younger",4,"(2) Out to most people at school","(3) Disagree"
"329",16,"(2) Middle",4,"(3) Out to some people at school","(2) Agree"
"330",16,"(2) Middle",4,"(4) Out to a few people at school","(3) Disagree"
"331",NA,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"332",13,"(1) Younger",2,"(2) Out to most people at school","(1) Agree strongly"
"333",26,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"334",11,"(1) Younger",4,"(2) Out to most people at school","(3) Disagree"
"335",NA,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"336",17,"(1) Younger",4,"(2) Out to most people at school","(1) Agree strongly"
"337",24,"(2) Middle",1,"(5) Out to no one at school","(3) Disagree"
"338",NA,"(2) Middle",2,"(4) Out to a few people at school","(3) Disagree"
"339",16,"(3) Older",4,"(3) Out to some people at school","(3) Disagree"
"340",17,"(1) Younger",1,"(1) Out to everyone at school","(3) Disagree"
"341",19,"(1) Younger",4,"(5) Out to no one at school","(1) Agree strongly"
"342",18,"(1) Younger",4,"(4) Out to a few people at school","(3) Disagree"
"343",17,"(2) Middle",2,"(5) Out to no one at school","(2) Agree"
"344",27,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"345",17,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"346",NA,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"347",24,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"348",25,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"349",NA,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"350",13,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"351",NA,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"352",22,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"353",NA,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"354",14,"(2) Middle",1,"(1) Out to everyone at school","(2) Agree"
"355",17,"(1) Younger",4,"(2) Out to most people at school","(2) Agree"
"356",22,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"357",NA,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"358",23,"(1) Younger",1,"(5) Out to no one at school","(2) Agree"
"359",20,"(3) Older",3,"(5) Out to no one at school","(1) Agree strongly"
"360",27,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"361",15,"(1) Younger",1,"(1) Out to everyone at school","(2) Agree"
"362",14,"(1) Younger",4,"(3) Out to some people at school","(2) Agree"
"363",36,"(3) Older",4,NA,"(3) Disagree"
"364",20,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"365",16,"(2) Middle",3,"(4) Out to a few people at school","(1) Agree strongly"
"366",16,"(1) Younger",2,"(1) Out to everyone at school","(2) Agree"
"367",NA,"(1) Younger",1,"(3) Out to some people at school","(4) Disagree strongly"
"368",30,"(2) Middle",2,"(5) Out to no one at school","(2) Agree"
"369",24,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"370",20,"(3) Older",2,"(5) Out to no one at school","(1) Agree strongly"
"371",35,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"372",16,"(1) Younger",1,"(1) Out to everyone at school","(2) Agree"
"373",45,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"374",36,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
